FID,PolygonID,HabType,CumEggs,PolygonAreaLL,PolygonAream2,EggDensityperHA
413,414,MWROW20-60,184,2.72E-07,2499.993782,736.0018306
414,415,MWROW20-60,132,2.72E-07,2499.997919,528.0004395
415,416,MWROW20-60,94,2.72E-07,2499.999678,376.0000484
416,417,MWROW20-60,210,2.69E-07,2474.694344,848.5896471
417,418,MWROW20-60,388,2.79E-07,2559.314668,1516.030853
418,419,MWROW20-60,204,2.72E-07,2500.003727,815.9987835
419,420,MWROW20-60,116,2.72E-07,2499.997772,464.0004135
420,421,MWROW20-60,88,2.72E-07,2500.002771,351.9996098
421,422,MWROW20-60,140,2.72E-07,2499.993165,560.001531
422,423,MWROW20-60,156,2.72E-07,2500.001724,623.9995697
423,424,MWROW20-60,158,2.72E-07,2499.99565,632.0010997
424,425,MWROW20-60,118,2.72E-07,2499.996945,472.0005768
425,426,MWROW20-60,364,5.18E-07,4755.595787,765.4140854
426,427,MWROW20-60,154,2.69E-07,2471.8156,623.023821
427,428,MWROW20-60,82,2.70E-07,2476.86989,331.0630095
428,429,MWROW20-60,346,4.51E-07,4138.325433,836.0869767
429,430,MWROW20-60,156,2.72E-07,2499.997797,624.0005499
430,431,MWROW20-60,164,2.70E-07,2480.130472,661.2555341
431,432,MWROW20-60,170,2.72E-07,2500.005778,679.9984284
432,433,MWROW20-60,182,2.72E-07,2500.003665,727.9989328
433,434,MWROW20-60,202,2.72E-07,2499.997901,808.0006784
434,435,MWROW20-60,282,2.72E-07,2499.998563,1128.000648
435,436,MWROW20-60,180,2.72E-07,2500.001105,719.9996818
436,437,MWROW20-60,220,2.68E-07,2464.554754,892.656167
437,438,MWROW20-60,246,2.72E-07,2500.000574,983.9997741
438,439,MWROW20-60,232,2.72E-07,2500.000788,927.9997075
439,440,MWROW20-60,284,2.72E-07,2499.998358,1136.000746
440,441,MWROW20-60,168,2.72E-07,2499.998103,672.0005099
441,442,MWROW20-60,110,2.72E-07,2499.994161,440.0010277
442,443,MWROW20-60,94,2.72E-07,2499.999516,376.0000728
443,444,MWROW20-60,64,2.72E-07,2500.000228,255.9999767
444,445,MWROW20-60,90,2.72E-07,2500.000527,359.9999241
445,446,MWROW20-60,96,2.72E-07,2499.997335,384.0004093
446,447,MWROW20-60,116,2.72E-07,2499.99576,464.0007869
447,448,MWROW20-60,100,2.70E-07,2481.542686,402.9751354
448,449,MWROW20-60,318,5.67E-07,5208.103818,610.5869067
449,450,MWROW20-60,162,2.72E-07,2500.011525,647.9970127
450,451,MWROW20-60,226,2.72E-07,2500.001742,903.9993701
451,452,MWROW20-60,166,2.71E-07,2489.242845,666.8694472
452,453,MWROW20-60,308,2.72E-07,2500.006178,1231.996955
453,454,MWROW20-60,138,2.72E-07,2499.991825,552.001805
454,455,MWROW20-60,300,2.72E-07,2500.00947,1199.995454
455,456,MWROW20-60,84,2.72E-07,2499.999849,336.0000203
456,457,MWROW20-60,132,2.72E-07,2499.998595,528.0002967
457,458,MWROW20-60,92,2.69E-07,2470.447883,372.4021083
458,459,MWROW20-60,224,2.72E-07,2500.00245,895.9991219
459,460,MWROW20-60,244,2.69E-07,2466.619846,989.2079657
460,461,MWROW20-60,234,2.72E-07,2500.000088,935.9999671
461,462,MWROW20-60,130,2.72E-07,2500.001986,519.9995869
462,463,MWROW20-60,162,2.69E-07,2473.08163,655.0531856
463,464,MWROW20-60,168,2.72E-07,2499.997663,672.0006282
464,465,MWROW20-60,236,2.72E-07,2499.998935,944.0004021
465,466,MWROW20-60,180,2.72E-07,2499.998949,720.0003027
466,467,MWROW20-60,322,2.71E-07,2491.661775,1292.310229
467,468,MWROW20-60,220,2.72E-07,2500.000631,879.9997779
468,469,MWROW20-60,208,2.72E-07,2499.997046,832.0009831
469,470,MWROW20-60,196,2.72E-07,2499.999465,784.0001678
470,471,MWROW20-60,126,2.72E-07,2499.997613,504.0004812
471,472,MWROW20-60,198,2.72E-07,2497.844972,792.6833019
472,473,MWROW20-60,112,2.72E-07,2500.001428,447.9997441
473,474,MWROW20-60,90,2.72E-07,2500.00302,359.9995651
474,475,MWROW20-60,186,2.72E-07,2500.003142,743.9990649
475,476,MWROW20-60,388,2.72E-07,2499.996408,1552.00223
476,477,MWROW20-60,186,2.68E-07,2458.347728,756.6057392
477,478,MWROW20-60,184,2.72E-07,2500.003512,735.9989661
478,479,MWROW20-60,308,2.72E-07,2499.999297,1232.000346
479,480,MWROW20-60,276,2.72E-07,2499.99721,1104.001232
480,481,MWROW20-60,256,2.72E-07,2499.998584,1024.00058
481,482,MWROW20-60,218,2.72E-07,2500.005314,871.9981465
482,483,MWROW20-60,250,2.72E-07,2500.002866,999.9988536
483,484,MWROW20-60,128,2.71E-07,2488.2143,514.4251442
484,485,MWROW20-60,242,2.72E-07,2500.002457,967.9990487
485,486,MWROW20-60,224,2.72E-07,2499.997039,896.0010612
486,487,MWROW20-60,232,2.73E-07,2508.86107,924.7223881
487,488,MWROW20-60,220,2.69E-07,2472.80136,889.679226
488,489,MWROW20-60,198,2.70E-07,2480.103939,798.3536371
489,490,MWROW20-60,164,2.72E-07,2499.996303,656.0009701
490,491,MWROW20-60,222,2.72E-07,2500.002666,887.999053
491,492,MWROW20-60,188,2.72E-07,2500.000204,751.9999386
492,493,MWROW20-60,216,2.72E-07,2499.996632,864.001164
493,494,MWROW20-60,218,2.72E-07,2499.99992,872.0000279
494,495,MWROW20-60,200,2.72E-07,2500.001081,799.9996541
495,496,MWROW20-60,216,2.72E-07,2499.998736,864.0004368
496,497,MWROW20-60,198,2.72E-07,2499.996343,792.0011585
497,498,MWROW20-60,178,3.34E-07,3067.505114,580.2761312
498,499,MWROW20-60,58,2.72E-07,2499.99544,232.0004232
499,500,MWROW20-60,40,2.72E-07,2499.994655,160.0003421
500,501,MWROW20-60,92,2.72E-07,2499.998839,368.0001709
501,502,MWROW20-60,154,2.69E-07,2467.826862,624.0308118
502,503,MWROW20-60,186,2.72E-07,2500.001209,743.9996402
503,504,MWROW20-60,202,2.72E-07,2499.999594,808.0001312
504,505,MWROW20-60,180,2.72E-07,2496.408371,721.0358773
505,506,MWROW20-60,218,2.70E-07,2476.624112,880.2304675
506,507,MWROW20-60,172,2.72E-07,2499.998057,688.0005347
507,508,MWROW20-60,76,2.72E-07,2499.991647,304.0010157
508,509,MWROW20-60,128,2.72E-07,2499.998487,512.0003099
509,510,MWROW20-60,106,2.72E-07,2500.001859,423.9996847
510,511,MWROW20-60,110,2.72E-07,2499.997978,440.0003559
511,512,MWROW20-60,100,2.72E-07,2500.020679,399.9966914
512,513,MWROW20-60,60,2.72E-07,2500.00054,239.9999482
513,514,MWROW20-60,208,2.70E-07,2480.484667,838.5458002
514,515,MWROW20-60,224,2.72E-07,2499.999073,896.0003322
515,516,MWROW20-60,200,2.72E-07,2500.001598,799.9994886
516,517,MWROW20-60,162,2.72E-07,2500.004123,647.9989313
517,518,MWROW20-60,136,2.68E-07,2463.380902,552.0867678
518,519,MWROW20-60,224,2.72E-07,2500.037751,895.9864702
519,520,MWROW20-60,460,2.71E-07,2494.622567,1843.966322
520,521,MWROW20-60,292,2.72E-07,2499.996076,1168.001833
521,522,MWROW20-60,98,2.72E-07,1630.679113,600.9766067
522,523,MWROW20-60,218,2.68E-07,2457.244829,887.1724845
523,524,MWROW20-60,208,2.72E-07,2500.000873,831.9997095
524,525,MWROW60-100,210,2.65E-07,2431.820003,863.5507552
525,526,MWROW60-100,220,2.72E-07,2499.983574,880.005782
526,527,MWROW60-100,98,2.72E-07,2499.997596,392.0003769
527,528,MWROW60-100,230,2.72E-07,2499.999171,920.0003051
528,529,MWROW60-100,102,2.72E-07,2499.996053,408.0006442
529,530,MWROW60-100,148,2.67E-07,2455.819208,602.6502257
530,531,MWROW60-100,192,2.72E-07,2500.002833,767.9991297
531,532,MWROW60-100,210,2.72E-07,2499.998151,840.0006213
532,533,MWROW60-100,170,2.72E-07,2500.004705,679.9987202
533,534,MWROW60-100,162,2.72E-07,2500.002591,647.9993284
534,535,MWROW60-100,210,2.72E-07,2500.000168,839.9999436
535,536,MWROW60-100,170,2.72E-07,2499.999046,680.0002595
536,537,MWROW60-100,130,2.69E-07,2470.077075,526.2993666
537,538,MWROW60-100,218,2.72E-07,2500.003013,871.9989491
538,539,MWROW60-100,200,2.72E-07,2499.995499,800.0014403
539,540,MWROW60-100,228,2.71E-07,2485.071554,917.478612
540,541,MWROW60-100,260,2.69E-07,2468.040349,1053.46738
541,542,MWROW60-100,196,2.72E-07,2499.99943,784.0001788
542,543,MWROW60-100,380,2.72E-07,2499.998087,1520.001163
543,544,MWROW60-100,326,2.72E-07,2500.002688,1303.998598
544,545,MWROW60-100,382,2.72E-07,2499.982696,1528.010576
545,546,MWROW60-100,346,2.72E-07,2499.984031,1384.00884
546,547,MWROW60-100,294,2.72E-07,2498.887304,1176.523645
547,548,MWROW60-100,256,2.70E-07,2477.236484,1033.409615
548,549,MWROW60-100,224,2.72E-07,2499.996838,896.0011333
549,550,MWROW60-100,184,2.67E-07,2455.613691,749.3035272
550,551,MWROW60-100,340,5.30E-07,4870.867106,698.0276665
551,552,MWROW60-100,110,2.68E-07,2463.462929,446.5258994
552,553,MWROW60-100,106,2.72E-07,2500.000013,423.9999978
553,554,MWROW60-100,18,2.72E-07,587.4960186,306.385055
554,555,MWROW60-100,216,2.72E-07,2499.998703,864.0004482
555,556,MWROW60-100,162,2.72E-07,2499.9979,648.0005443
556,557,MWROW60-100,218,2.72E-07,2499.99812,872.0006557
557,558,MWROW60-100,298,2.72E-07,2500.001687,1191.999196
558,559,MWROW60-100,310,2.72E-07,2500.003112,1239.998456
559,560,MWROW60-100,272,2.72E-07,2500.001553,1087.999324
560,561,MWROW60-100,456,2.72E-07,2499.999207,1824.000579
561,562,MWROW60-100,264,2.72E-07,2500.001552,1055.999344
562,563,MWROW60-100,190,2.72E-07,2500.000675,759.9997948
563,564,MWROW60-100,218,2.72E-07,2500.003132,871.9989076
564,565,MWROW60-100,370,2.72E-07,2499.998132,1480.001106
565,566,MWROW60-100,300,2.72E-07,2499.998005,1200.000958
566,567,MWROW60-100,258,2.72E-07,2500.000161,1031.999934
567,568,MWROW60-100,214,2.72E-07,2500.000161,855.9999449
568,569,MWROW60-100,164,2.72E-07,2499.999096,656.0002372
569,570,MWROW60-100,104,2.72E-07,2500.000777,415.9998707
570,571,MWROW60-100,134,2.72E-07,2499.99905,536.0002037
571,572,MWROW60-100,210,2.72E-07,2499.998865,840.0003814
572,573,MWROW60-100,188,2.72E-07,2499.998157,752.0005544
573,574,MWROW60-100,138,2.72E-07,2500.005372,551.9988139
574,575,MWROW60-100,82,2.72E-07,2494.769386,328.6876954
575,576,MWROW60-100,106,2.72E-07,2500.001881,423.999681
576,577,MWROW60-100,258,2.72E-07,2500.00035,1031.999856
577,578,MWROW60-100,110,2.72E-07,2499.994462,440.0009747
578,579,MWROW60-100,156,2.68E-07,2462.28004,633.55913
579,580,MWROW60-100,162,2.72E-07,2500.002284,647.999408
580,581,MWROW60-100,128,2.72E-07,2500.000443,511.9999093
581,582,MWROW60-100,104,2.72E-07,2499.99736,416.0004393
582,583,MWROW60-100,98,2.71E-07,2489.392681,393.6703146
583,584,MWROW60-100,104,2.72E-07,2499.999352,416.0001078
584,585,MWROW60-100,88,2.72E-07,2499.998387,352.0002271
585,586,MWROW60-100,54,2.72E-07,1765.210536,305.9125181
586,587,MWROW60-100,174,2.72E-07,2500.002997,695.9991656
587,588,MWROW60-100,126,2.72E-07,2497.559452,504.4924953
588,589,MWROW60-100,192,2.69E-07,2474.552739,775.8977894
589,590,MWROW60-100,300,2.72E-07,2499.997479,1200.00121
590,591,MWROW60-100,310,3.64E-07,3344.328588,926.9424096
591,592,MWROW60-100,192,2.72E-07,2500.000824,767.9997469
592,593,MWROW60-100,138,2.72E-07,2499.999516,552.0001069
593,594,MWROW60-100,88,2.72E-07,2499.999715,352.0000401
594,595,MWROW60-100,134,2.72E-07,2500.000527,535.999887
595,596,MWROW60-100,110,2.72E-07,2499.997998,440.0003524
596,597,MWROW60-100,106,2.72E-07,2499.999175,424.0001399
597,598,MWROW60-100,130,2.72E-07,2499.995599,520.0009154
598,599,MWROW60-100,138,2.70E-07,2481.566755,556.1002932
599,600,MWROW60-100,110,2.72E-07,2499.973124,440.0047302
600,601,MWROW60-100,232,2.72E-07,2500.004484,927.9983355
601,602,MWROW60-100,326,2.72E-07,2500.005469,1303.997147
602,603,MWROW60-100,244,2.72E-07,2498.358662,976.6411993
603,604,MWROW60-100,256,2.72E-07,2500.001186,1023.999514
604,605,MWROW60-100,290,2.68E-07,2463.938843,1176.977265
605,606,MWROW60-100,272,2.72E-07,2500.003696,1087.998392
606,607,MWROW60-100,250,2.72E-07,2500.007549,999.9969804
607,608,MWROW60-100,244,2.70E-07,2483.386018,982.5294909
608,609,MWROW60-100,186,2.72E-07,2499.996928,744.0009142
609,610,MWROW60-100,224,2.72E-07,2499.994492,896.0019741
610,611,MWROW60-100,50,2.72E-07,1673.957903,298.693294
611,612,MWROW60-100,52,2.72E-07,2257.741555,230.3186558
612,613,MWROW60-100,166,2.69E-07,2471.696297,671.6035469
613,614,MWROW60-100,280,2.72E-07,2499.999154,1120.000379
614,615,MWROW60-100,370,2.72E-07,2500.000785,1479.999535
615,616,MWROW60-100,530,4.28E-07,3933.585698,1347.371179
616,617,MWROW60-100,380,2.72E-07,2498.975707,1520.623025
617,618,MWROW60-100,154,2.70E-07,2481.901081,620.4920945
618,619,MWROW60-100,188,2.72E-07,2499.99722,752.0008362
619,620,MWROW60-100,170,2.69E-07,2466.058195,689.3592387
620,621,MWROW60-100,114,2.72E-07,2499.999597,456.0000735
621,622,MWROW60-100,170,2.72E-07,2499.986439,680.0036886
622,623,MWROW60-100,158,2.72E-07,2499.99315,632.0017317
623,624,MWROW60-100,202,2.72E-07,2500.003442,807.9988875
624,625,MWROW60-100,250,2.72E-07,2500.002384,999.9990464
625,626,MWROW60-100,156,2.72E-07,2500.002613,623.9993478
626,627,MWROW60-100,204,2.72E-07,2500.000065,815.9999788
627,628,MWROW60-100,230,2.72E-07,2499.999705,920.0001086
628,629,MWROW60-100,198,2.72E-07,2499.997722,792.0007217
629,630,MWROW60-100,152,2.72E-07,2500.005643,607.9986276
630,631,MWROW60-100,176,2.71E-07,2485.303458,708.163019
631,632,MWROW60-100,182,2.72E-07,2499.997451,728.0007423
632,633,MWROW60-100,258,3.06E-07,2808.042299,918.7895784
633,634,MWROW60-100,278,2.72E-07,2497.957369,1112.909305
634,635,MWROW60-100,124,2.72E-07,2499.986565,496.0026655
635,636,MWROW60-100,150,2.72E-07,2499.998928,600.0002573
636,637,MWROW60-100,180,2.71E-07,2485.594373,724.1728657
637,638,MWROW60-100,176,2.72E-07,2500.003879,703.9989077
638,639,MWROW60-100,212,2.72E-07,2500.001037,847.9996482
639,640,MWROW60-100,118,2.72E-07,2499.998594,472.0002655
640,641,MWROW60-100,260,2.72E-07,2500.003391,1039.998589
641,642,MWROW60-100,286,2.68E-07,2460.996101,1162.131057
642,643,MWROW60-100,258,2.72E-07,2499.996417,1032.001479
643,644,MWROW60-100,154,2.72E-07,2499.996429,616.0008799
644,645,MWROW60-100,278,2.72E-07,2499.998452,1112.000689
645,646,MWROW60-100,162,2.70E-07,2478.972572,653.4965406
646,647,MWROW60-100,258,2.72E-07,2500.002552,1031.998947
647,648,MWROW60-100,164,2.72E-07,2500.214175,655.9438053
648,649,MWROW60-100,174,2.72E-07,2499.996566,696.000956
649,650,MWROW60-100,244,2.71E-07,2491.113343,979.4817273
650,651,MWROW60-100,278,2.72E-07,2499.996758,1112.001442
651,652,MWROW60-100,272,2.68E-07,2462.953585,1104.365107
652,653,MWROW60-100,302,2.72E-07,2500.001722,1207.999168
653,654,MWROW60-100,200,2.72E-07,2500.001197,799.999617
654,655,MWROW60-100,236,2.70E-07,2481.273817,951.1243716
655,656,MWROW60-100,242,2.72E-07,2500.003704,967.9985658
656,657,MWROW60-100,256,2.72E-07,2499.996432,1024.001461
657,658,MWROW60-100,234,2.72E-07,2499.999788,936.0000794
658,659,MWROW60-100,252,2.72E-07,2500.002457,1007.999009
659,660,MWROW60-100,236,2.72E-07,2499.999905,944.0000359
660,661,MWROW60-100,258,2.72E-07,2499.994906,1032.002103
661,662,MWROW60-100,282,2.72E-07,2500.003429,1127.998453
662,663,MWROW60-100,246,2.72E-07,2499.969734,984.0119128
663,664,MWROW60-100,206,2.72E-07,2499.999439,824.0001849
664,665,MWROW60-100,142,2.72E-07,2500.001499,567.9996594
665,666,MWROW60-100,122,2.72E-07,2499.998955,488.000204
666,667,MWROW60-100,182,2.72E-07,2499.996412,728.0010448
667,668,MWROW60-100,158,2.72E-07,2499.999957,632.0000109
668,669,MWROW60-100,140,2.72E-07,2500.001664,559.9996273
669,670,MWROW60-100,210,2.72E-07,2499.997742,840.0007587
670,671,MWROW60-100,226,2.72E-07,2499.997667,904.0008436
671,672,MWROW60-100,302,2.68E-07,2464.920677,1225.191556
672,673,MWROW60-100,142,2.72E-07,2499.996703,568.0007491
673,674,MWROW60-100,328,2.72E-07,2500.000111,1311.999942
674,675,MWROW60-100,100,2.72E-07,1990.091283,502.4895132
675,676,MWROW60-100,320,2.71E-07,2486.563307,1286.916762
676,677,MWROW60-100,352,2.72E-07,2499.997604,1408.001349
677,678,MWROW60-100,166,2.71E-07,2488.069018,667.1840644
678,679,MWROW60-100,262,2.72E-07,2500.00273,1047.998856
679,680,MWROW60-100,210,2.74E-07,2520.963405,833.0148688
680,681,MWROW60-100,282,2.72E-07,2500.001068,1127.999518
681,682,MWROW60-100,210,2.69E-07,2473.063019,849.1494086
682,683,MWROW60-100,186,2.68E-07,2459.279974,756.3189306
683,684,MWROW60-100,156,2.72E-07,2499.999241,624.0001894
684,685,MWROW60-100,382,3.92E-07,3600.206648,1061.050204
685,686,MWROW60-100,102,2.72E-07,2499.982333,408.0028833
686,687,MWROW60-100,148,2.70E-07,2484.244938,595.7544594
687,688,MWROW60-100,58,2.72E-07,2499.996932,232.0002847
688,689,MWROW60-100,78,2.71E-07,2485.236209,313.8534668
689,690,MWROW60-100,162,3.04E-07,2792.689825,580.0859034
690,691,MWROW60-100,96,2.71E-07,2489.907374,385.5565111
691,692,MWROW60-100,96,2.72E-07,2500.001958,383.9996993
692,693,MWROW60-100,60,2.72E-07,2500.000642,239.9999384
693,694,MWROW60-100,74,2.72E-07,2500.001144,295.9998646
694,695,MWROW60-100,74,2.72E-07,2499.993724,296.0007431
695,696,MWROW60-100,184,2.72E-07,2499.99707,736.0008626
696,697,MWROW60-100,302,2.72E-07,2499.997319,1208.001295
697,698,MWROW60-100,326,2.72E-07,2500.004269,1303.997773
698,699,MWROW60-100,194,2.70E-07,2481.489304,781.7885803
699,700,MWROW60-100,148,2.68E-07,2463.699085,600.7227137
700,701,MWROW60-100,162,2.72E-07,2500.000076,647.9999803
701,702,MWROW60-100,140,2.72E-07,2500.001504,559.9996631
702,703,MWROW60-100,146,2.71E-07,2489.94338,586.3587147
703,704,MWROW60-100,176,2.72E-07,2499.998239,704.0004959
704,705,MWROW60-100,108,2.72E-07,2499.997289,432.0004685
705,706,MWROW60-100,52,2.72E-07,1954.180853,266.0961493
706,707,MWROW60-100,0,2.72E-07,23.82600049,0
707,708,MWROW60-100,172,3.48E-07,3193.025042,538.6741342
708,709,MWROW60-100,138,2.72E-07,2499.996649,552.0007399
709,710,MWROW60-100,170,2.72E-07,2500.001598,679.9995653
710,711,MWROW60-100,202,2.72E-07,2500.001487,807.9995194
711,712,MWROW60-100,310,2.72E-07,2499.999982,1240.000009
712,713,MWROW60-100,168,2.72E-07,2499.997276,672.0007322
713,714,Soybeans_nonGMO,15434,9.12E-05,837635.819,184.2566859
714,715,Corn_nonGMO,11072,0.000194203,644552.9229,171.7779814
715,716,Corn_nonGMO,1564,2.25E-06,20684.18072,756.1334051
716,717,Corn_nonGMO,254,9.79E-07,8993.155705,282.4370091
717,718,Corn_nonGMO,2,9.79E-07,278.0192831,71.9374562
718,719,Corn_nonGMO,5294,1.61E-05,147528.1246,358.846831
719,720,Corn_nonGMO,334,9.79E-07,8993.137883,371.3942834
720,721,Corn_nonGMO,5486,3.78E-05,347520.9904,157.8609682
721,722,Corn_nonGMO,4408,6.83E-06,62798.83473,701.9238524
722,723,Corn_nonGMO,1088,1.33E-05,28051.97622,387.8514624
723,724,Corn_nonGMO,10164,7.79E-05,578288.7007,175.7599619
